TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 																							
 UNITS	[MCHCapitalf/kW]	 [MCHCapitalf/kW]	 [y]	 [kW or kWh]	 [kW or kWh]	 [kW or kWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [kgCO2-eq./kW or kWh] 																							
BATT_REDOX	0	0	20	2.2	0	100000	0	-1	1	1	0.058246	0	%f\t				0																		
BEV_BATT	0	0	1	0.1	0	0	0	-1	1	1	1.015	0	%f\t				0																		
PHEV_BATT	0	0	1	0.1	0	0	0	-1	1	1	1.015	0	%f\t				0																		
TS_DEC_HP_ELEC_A2W_small	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_HP_ELEC_A2W	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_HP_ELEC_G2W_small	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_HP_ELEC_G2W	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_HP_ELEC_G2W_big	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_DIRECT_ELEC	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_THHP_GAS_ABS_A2W	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_THHP_GAS_ABS_G2W	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_THHP_GAS_ADS_G2W	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_COGEN_GAS	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_ADVCOGEN_GAS	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_COGEN_OIL	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_ADVCOGEN_H2	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_BOILER_GAS	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_BOILER_WOOD	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DEC_BOILER_OIL	0	0	30	0.1	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
TS_DHN_DAILY_S	7325.4116	8.629937	40	100	1003.481041	100000000	0	-1	1	1	0.033427	0	%f\t				0.010631915																		
TS_DHN_DAILY_M	0	0	40	40000	0	0	0	-1	1	1	0.033427	0	%f\t				0																		
TS_DHN_SEASONAL_S	0	0	20	40000	0	0	0	-1	1	1	0.058246	0	%f\t				0																		
TS_DHN_SEASONAL_M	0	0	20	1000000	0	0	0	-1	1	1	0.058246	0	%f\t				0																		
TS_DHN_SEASONAL_L	0	0	20	8000000	0	0	0	-1	1	1	0.058246	0	%f\t	0			0																		
SEASONAL_NG	0	0	30	0	0	100000	0	-1	1	1	0.041639	0	%f\t				0																		
SEASONAL_H2	0	0	25	0	0	100000	0	-1	1	1	0.048263	0	%f\t				0																		
LINK_DEC2DHN	0	0	1	0.1	0	0	0	-1	1	1	1.015	0	%f\t		31.13701635		0	28.12753479																	
LINK_DHN2DEC	0	0	1	0.1	0	0	0	-1	1	1	1.015	0	%f\t				0																		
ECapitalfCapitalfICIENCY	0	0	1	0.1	0	20	0	-1	1	1	1.015	0	%f\t				0																		
DHN_LINES	310000	0	50	0.1	50	100000	0	-1	1	1	0.028572	0	%f\t	0.419463083	56.20964059		0.449926077	59.32853169																	
DHN_STATIONS	98774.81389	0	50	0.1	411.561725	100000	0	-1	1	1	0.028572	0	%f\t	0.142633323			0.14335924																		
DHN_SUBSTA	86427.96215	2304.745657	25	0.1	411.561725	100000	0	-1	1	1	0.048263	0	%f\t	0.128132269	12.81322685		0.125439335	12.54393352																	
GRID	0	0	80	0.1	0	20	0	-1	1	1	0.021548	0	%f\t																						
H2_ELECTROLYSIS_SOEC	0	0	20	1000	0	100000	0	-1	1	0.9	0.058246	0	%f\t																						
H2_ELECTROLYSIS_PEMEC	0	0	15	1000	0	100000	0	-1	1	0.9	0.074944	0	%f\t																						
H2_ELECTROLYSIS_ALKA	0	0	25	1000	0	100000	0	-1	1	0.9	0.048263	0	%f\t																						
H2_NG	0	0	25	1000	0	100000	0	-1	1	0.86	0.048263	0	%f\t																						
H2_BIOMASS	0	0	25	1000	0	100000	0	-1	1	0.86	0.048263	0	%f\t																						
GASICapitalfICATION_SNG	0	0	20	2000	0	100000	0	-1	1	0.95	0.058246	0	%f\t																						
PYROLYSIS	0	0	25	1000	0	100000	0	-1	1	0.95	0.048263	0	%f\t																						
ROOCapitalf	0	0	1	0.1	0	1E+11	0	-1	0.14	1	1.015	0	%f\t																						
CapitalfACADE	0	0	1	0.1	0	1E+11	0	-1	0.28	1	1.015	0	%f\t																						
CapitalfLOOR	0	0	1	0.1	0	1E+11	0	-1	0.05	1	1.015	0	%f\t																						
WINDOW	0	0	1	0.1	0	1E+11	0	-1	0.1	1	1.015	0	%f\t																						
