TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[MCHCapitalf/kW]	 [MCHCapitalf/kW]	 [y]	 [kW or kWh]	 [kW or kWh]	 [kW or kWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [kgCO2-eq./kW or kWh] 
TS_DHN_SEASONAL_L	0.000000	0.000000	20.000000	8000000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
SEASONAL_NG	0.000000	0.000000	30.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
SEASONAL_H2	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
LINK_DEC2DHN	0.000000	0.000000	1.000000	0.100000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
LINK_DHN2DEC	0.000000	0.000000	1.000000	0.100000	0.000000	0.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
ECapitalfCapitalfICIENCY	0.000000	0.000000	1.000000	0.100000	0.000000	20.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
DHN_SINGLE	9525610.714286	0.000000	40.000000	0.100000	15240.977143	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
DHN_SERVICE	9600000.000000	0.000000	40.000000	0.100000	3000.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
DHN_STATIONS	2095700.049399	0.000000	40.000000	0.100000	8732.083539	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
DHN_SUBSTA	1833737.543224	48899.667819	25.000000	0.100000	8732.083539	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
GRID	0.000000	0.000000	80.000000	0.100000	0.000000	20.000000	0.000000	-1.000000	1.000000	1.000000	0.021548	0.000000	%f\t
H2_ELECTROLYSIS_SOEC	0.000000	0.000000	30.000000	1000.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	0.900000	0.041639	0.000000	%f\t
H2_ELECTROLYSIS_PEMEC	0.000000	0.000000	15.000000	1000.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	0.900000	0.074944	0.000000	%f\t
H2_ELECTROLYSIS_ALKA	0.000000	0.000000	25.000000	1000.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	0.900000	0.048263	0.000000	%f\t
H2_NG	0.000000	0.000000	25.000000	1000.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	0.860000	0.048263	0.000000	%f\t
H2_BIOMASS	0.000000	0.000000	25.000000	1000.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	0.860000	0.048263	0.000000	%f\t
GASICapitalfICATION_SNG	0.000000	0.000000	20.000000	2000.000000	0.000000	0.000000	0.000000	-1.000000	1.000000	0.950000	0.058246	0.000000	%f\t
PYROLYSIS	2901883.732391	2860.428250	25.000000	1000.000000	4145.548189	100000.000000	0.000000	-1.000000	1.000000	0.950000	0.048263	0.000000	%f\t
ROOCapitalf	905641.716000	0.000000	1.000000	0.100000	6468869.400000	100000000000.000000	0.000000	-1.000000	0.140000	1.000000	1.015000	0.000000	%f\t
CapitalfACADE	1164396.492000	0.000000	1.000000	0.100000	12937738.800000	100000000000.000000	0.000000	-1.000000	0.280000	1.000000	1.015000	0.000000	%f\t
CapitalfLOOR	554474.520000	0.000000	1.000000	0.100000	2310310.500000	100000000000.000000	0.000000	-1.000000	0.050000	1.000000	1.015000	0.000000	%f\t
WINDOW	1524804.930000	0.000000	1.000000	0.100000	4620621.000000	100000000000.000000	0.000000	-1.000000	0.100000	1.000000	1.015000	0.000000	%f\t
